organization,lastknown_country,patents
The Boeing Company,US,392
The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,US,276
Lockheed Martin Corporation,US,196
"Space Systems/Loral, Inc.",US,145
Hughes Electronics Corporation,KR,127
The United States of America as represented by the Secretary of the Navy,US,117
Hughes Aircraft Company,US,102
"Honeywell International, Inc.",US,96
TRW Inc.,US,86
Thales,FR,80
General Electric Company,US,51
Astrium GmbH,DE,49
Aerospatiale Societe Nationale Industrielle,FR,48
Raytheon Company,US,48
The Aerospace Corporation,US,45
RCA Corporation,KR,43
Astrium SAS,FR,38
Martin Marietta Corporation,US,34
Rockwell International Corporation,US,32
Centre National d'Etudes Spatiales,FR,30
McDonnell Douglas Corporation,US,30
Mitsubishi Denki Kabushiki Kaisha,JP,28
Societe Nationale Industrielle Aerospatiale,FR,28
ERNO Raumfahrttechnik GmbH,DE,27
Alcatel,FR,25
Honeywell Inc.,US,23
Airbus Defence and Space GmbH,FI,23
Bigelow Aerospace,US,21
Northrop Grumman Corporation,US,21
Agence Spatiale Europeenne,FR,20
"Motorola, Inc.",US,18
Hughes Electronics,US,18
United Technologies Corporation,US,17
NEC Corporation,JP,17
Airbus Operations GmbH,DE,16
Orbital Sciences Corporation,US,16
Societe Europeenne de Propulsion,FR,16
"MITSUBISHI HEAVY INDUSTRIES, LTD.",JP,16
"General Dynamics Corporation, Space Systems Division",US,16
Kistler Aerospace Corporation,US,15
"Alliant Techsystems, Inc.",US,15
Grumman Aerospace Corporation,US,14
Eads Space Transportation SAS,DE,14
SNECMA,FR,14
The United States of America as represented by the United States National Aeronautics and Space Administration,US,14
"AEC-Able Engineering Co., Inc.",US,13
Olin Corporation,TW,13
MacDonald Dettwiler & Associates Inc.,CA,13
"Analytical Graphics, Inc.",US,13
Japan Aerospace Exploration Agency,JP,12
"Blue Origin, LLC",US,12
British Aerospace Public Limited Company,GB,12
"Hitachi, Ltd.",JP,12
Johns Hopkins Univ.,US,11
General Dynamics Corporation,US,11
"Deployable Space Systems, Inc.",US,11
Michigan Aerospace Cororation,US,10
"Spacehab, Inc.",US,10
"The Charles Stark Draper Laboratory, Inc.",US,10
Electronics and Telecommunications Research Institute,KR,10
Messerschmitt-Bolkow-Blohm GmbH,DE,10
IOSTAR Corporation,US,10
Ford Aerospace & Communications Corporation,US,10
"Hamilton Sundstrand Space Systems International, Inc.",US,9
"Mobile Communications Holdings, Inc.",US,9
California Institute of Technology,US,9
"Lockheed Missiles & Space Company, Inc.",US,9
Spar Aerospace Limited,CA,9
"Galaxy Development, LLC",US,9
Kabushiki Kaisha Toshiba,JP,8
Matra Marconi Space France,FR,8
National Space Development Agency of Japan,DE,8
Mitsubishi Electric Corporation,JP,8
"United Launch Alliance, LLC",US,8
"COMPOSITE TECHNOLOGY DEVELOPMENT, INC.",US,8
"Space Industries, Inc.",US,8
"General Dynamics Corporation, Convair Division",US,8
"Skybox Imaging, Inc.",US,7
DaimlerChrysler AG,DE,7
Georgia Tech Research Corp.,US,7
Aerojet-General Corporation,US,7
The United States of America as represented by the United States Department of Energy,US,7
Paragon Space Development Corporation,US,7
Messerschmitt-Boelkow-Blohm Gesellschaft mit beschraenkter Haftung,DE,7
Fairchild Space and Defense Corporation,US,7
Sundstrand Corporation,US,7
Midwest Research Institute,US,7
Daimler-Benz Aerospace Airbus GmbH,DE,7
ITT Corporation,DE,7
"Foster-Miller, Inc.",US,7
Astrium Limited,GB,7
"University of Florida Research Foundation, Inc.",US,7
"Morton Thiokol, Inc.",US,7
BEIHANG UNIVERSITY,CN,6
"Microcosm, Inc.",US,6
Messershmitt-Boelkow-Blohm Gesellschaft-mit-beschraenkter Haftung,DE,6
Deutsches Zentrum fur Luft-und Raumfahrt e.V.,DE,6
Goodrich Corporation,US,6
Boeing North American Inc.,US,6
Northrop Grumman Systems Corporation,US,6
"Japan Aircraft Mfg. Co., Ltd.",JP,6
Harris Corporation,US,6
Hamilton Sundstrand Corporation,US,6
Korea Aerospace Research Institute,KR,6
Virtual Geosatellite LLC,US,6
Saab Ericsson Space AB,SE,6
Astro Aerospace Corp.,US,5
Sharp Kabushiki Kaisha,JP,5
"ITT Manufacturing Enterprises, Inc.",US,5
"Mitsubishi Electric Research Laboratories, Inc.",US,5
The United States of American as represented by the Administrator of the National Aeronautics and Space Administration,US,5
Deutsches Zentrum Fuer Luft-und Raumfahrt E.V.,DE,5
Noetix Corporation,US,5
Nippon Telegraph and Telephone Corporation,JP,5
