patent_id,title,organization
6128556,CMG control based on angular momentum to control satellite attitude,"Honeywell International, Inc."
6131068,Accuracy of an inertial measurement unit,"Honeywell International, Inc."
6154691,Orienting a satellite with controlled momentum gyros,"Honeywell International, Inc."
6182582,Tilt table,"Honeywell International, Inc."
6241194,Momentum position control,"Honeywell International, Inc."
6340137,Moment control unit for spacecraft attitude control,"Honeywell International, Inc."
6354163,Mitigating gimbal induced disturbances in CMG arrays,"Honeywell International, Inc."
6371412,Method and apparatus for reducing acoustic coupling,"Honeywell International, Inc."
6377352,Angular rate and reaction torque assembly,"Honeywell International, Inc."
6378292,MEMS microthruster array,"Honeywell International, Inc."
6380526,Employing booster trajectory in a payload inertial measurement unit,"Honeywell International, Inc."
6467987,Resettable non-explosive actuator,"Honeywell International, Inc."
6499697,Deployable flexible airlock,"Honeywell International, Inc."
6504330,Single board motor controller,"Honeywell International, Inc."
6508437,Launch lock for spacecraft payloads,"Honeywell International, Inc."
6515221,Modular reaction wheel assembly to shield electronics on a satellite,"Honeywell International, Inc."
6534887,Microwheel,"Honeywell International, Inc."
6598385,Two stage gas pilot valve controlling gas flow to a reaction jet nozzle,"Honeywell International, Inc."
6649027,Water reclamation system,"Honeywell International, Inc."
6681589,"Space suit backpack using solid adsorbents for cryogenic oxygen storage, freezeout of carbon dioxide and moisture, and ice heat sink","Honeywell International, Inc."
6681649,Inertial control and measurement system,"Honeywell International, Inc."
6682019,Minimum energy wheel configurations for energy storage and attitude control,"Honeywell International, Inc."
6679457,Reaction wheel system with vernier control rotor,"Honeywell International, Inc."
6715591,Spacecraft isolator launch restraint,"Honeywell International, Inc."
6758444,Momentum control system and method,"Honeywell International, Inc."
6772978,Dynamic unbalance compensation system and method,"Honeywell International, Inc."
6775599,Multi-function reaction wheel assemblies for controlling spacecraft attitude,"Honeywell International, Inc."
6779759,Integrated power and attitude control system and method,"Honeywell International, Inc."
6834561,Radially actuated control moment gyroscope,"Honeywell International, Inc."
6834841,Method and system for decoupling structural modes to provide consistent control system performance,"Honeywell International, Inc."
6845952,Flywheel prognostic health and fault management system and method,"Honeywell International, Inc."
6891498,Inertial reference system for a spacecraft,"Honeywell International, Inc."
6920966,Remotely releasable support strut,"Honeywell International, Inc."
6926036,Fluidic diverter valve with a non-spherical shuttle element,"Honeywell International, Inc."
7000308,Method of constructing a rotor for a gyroscopic device,"Honeywell International, Inc."
7014150,Method and system for optimizing torque in a CMG array,"Honeywell International, Inc."
7051617,Methods and apparatus for tuned axial damping in rotating machinery with floating bearing cartridge,"Honeywell International, Inc."
7057734,Integrated reaction wheel assembly and fiber optic gyro,"Honeywell International, Inc."
7090170,In-orbit satellite sensor alignment determination,"Honeywell International, Inc."
7090171,Momentum stabilized launch vehicle upper stage,"Honeywell International, Inc."
7093617,Fluidic diverter valve with a non-spherical shuttle element,"Honeywell International, Inc."
7093806,Method and system for decoupling structural modes to provide consistent control system performance,"Honeywell International, Inc."
7152495,System and method for adaptive cancellation of disturbances,"Honeywell International, Inc."
7185855,Method and system for steering a momentum control system,"Honeywell International, Inc."
7185857,Thrust vector actuation control system and method,"Honeywell International, Inc."
7197958,Energy storage flywheel retention system and method,"Honeywell International, Inc."
7246776,Method and system for CMG array singularity avoidance,"Honeywell International, Inc."
7273196,System for vehicle attitude and/or momentum control,"Honeywell International, Inc."
7299817,"Passive, double acting, vacuum actuated vent valve","Honeywell International, Inc."
7364120,Quantized control-moment gyroscope array,"Honeywell International, Inc."
7367529,Momentum tube for distributed actuation,"Honeywell International, Inc."
7370833,Method and system for determining a singularity free momentum path,"Honeywell International, Inc."
7374134,"Systems and methods for semi-permanent, non-precision inspace assembly of space structures, modules and spacecraft","Honeywell International, Inc."
7407137,Dual voltage integrated power and attitude control system and method,"Honeywell International, Inc."
7434355,Inflatable docking station/garage for Mars rover,"Honeywell International, Inc."
7458264,Generalized inertial measurement error reduction through multiple axis rotation during flight,"Honeywell International, Inc."
