abstract,title,year
"An improved system for use in imposing directional stability on a rocket-propelled vehicle. The system includes a pivotally supported engine-mounting platform, a gimbal ring mounted on the platform and adapted to pivotally support a rocket engine, an hydraulic actuator connected to the platform for imparting thereto selected pivotal motion, an accelerometer and a signal comparator circuit for providing error intelligence indicative of aberration in vehicle acceleration, and an actuator control circuit connected with the actuator and responsive to error intelligence for imparting pivotal motion to the platform, whereby a relocation of the engine's thrust vector is achieved for imparting directional stability to the vehicle.",System for imposing directional stability on a rocket-propelled vehicle,1976
"A structural lock for locking in each of three axes, during the launch phase, the rotatable structural portion of a spacecraft and a despun structural shelf commonly used in dual spin spacecraft. A single sliding pin which connects the two sections, is withdrawn by a pyrotechnic device prior to achieving orbit. The pin engages an adjustable spring biased, two piece member which includes serrated mating surfaces for providing a positive shear path in the Z direction.",Launch lock device,1976
"An attitude control system for a space vehicle in which angular rate signals are generated by rate gyros mounted closely adjacent to gimbaled engines at the rear of a vehicle, and wherein error signals representative of a commanded change in vehicle angle or attitude are obtained from a precision inertial platform located in the nose region of the vehicle. The rate gyro derived signals dominate at high frequencies where dynamic effects become significant, and platform signals dominate at low frequencies where precision signals are required for a steady vehicle attitude. The blended signals are applied in a conventional manner to control the gimbaling of vehicle engines about control axes.",Attitude control system,1976
"A laminate thermal control coating for spacecraft comprising a layer of solar-radiation stable film, a layer of particulate-radiation stable film applied to the upper surface of the solar-radiation stable film, and a layer of reflecting material applied to the lower surface of the solar-radiation stable film. The coating experiences no increase in solar radiation absorptance (the proportion of radiant energy absorbed) upon exposure to particular or solar radiation as the particulate radiation is substantially absorbed in the particulate-radiation stable layer and the solar radiation partially absorbed by the particulate-radiation stable layer is transmitted by the solar-radiation stable film to the reflecting material which reflects it back through the laminate and into space.",Particulate and solar radiation stable coating for spacecraft,1977
"A system for autonomously unloading accumulated angular momentum on space craft reaction wheels in the attitude control systems with external torques generated by the interaction of spacecraft magnetic dipoles with the earth's magnetic field. An onboard computer receives reaction wheel speed information, wheel speed threshold and geomagnetic latitude information and controls magnetic dipoles that will create a spacecraft torque and desaturate reaction wheels in a closed loop system.",Spacecraft closed loop three-axis momentum unloading system,1977
"In a strapped-down gyroscope space vehicle attitude control system, a method and apparatus are provided for gyro drift and input axis misalignment error compensation employing a sun and a star tracker and preselected vehicle calibration maneuvers. During the preselected maneuvers using the sun and a star as external references, the outputs of two-axis strapped-down gyroscopes nominally aligned with the optical axis of the sun and star trackers are measured. The measured outputs provide gyro drift calibration, roll, pitch and yaw axis scale factors and values corresponding to the degree of nonorthogonality between the roll axis and the pitch and yaw gyro input axes and the nonorthogonality of the roll and pitch axes relative to the yaw axis. With the calibration data so obtained stored in a special purpose digital computer, the vehicle is then rolled and yawed through precomputed angles as modified by the calibration data to acquire a target without further recourse to external references.",All sky pointing attitude control system,1977
"An ablative material for use with reentry vehicles and characterized by having a low plasma electron density. The material is a laminated composite composed of about 15.6 percent by weight carbon, 3.4 percent by weight phenolic resin, and 81 percent by weight polytetrafluoroethylene.",Ablative protective material for reentry bodies,1977
A combined docking and grasping device for use with a manipulator arm on a docking vehicle and the like for mechanically connecting a docking vehicle with an orbital payload having a receptacle for receiving the device therein. The device includes a pair of opposing jaw members having opposing serrated surfaces for grasping an object and a triangular cam portion on an outer surface for insertion and interlocking with an orbital payload.,Combined docking and grasping device,1977
"A sprayable, low density ablative composition consisting essentially of: A. 100 parts by weight of a mixture of 25-65% by weight of phenolic microballoons, PA1 0-20% by weight of glass microballoons, PA1 4-10% by weight of glass fibers, PA1 25-45% by weight of an epoxy-modified polyurethane resin, PA1 2-4% by weight of a bentonite dispersing aid and PA1 1-2% by weight of an alcohol activator for the bentonite; B. 1-10 parts by weight of an aromatic amine curing agent; and C. 200-400 parts by weight of a solvent.",Sprayable low density ablator and application process,1978
"A system for tethering one orbiting space vehicle to another in which a tetherline between the vehicles is controlled by a motorized reel which in turn is controlled to deploy, retrieve, or maintain a constant line length while effecting a stabilizing influence on the line. This is accomplished by applying a tension to the line which takes into account the instantaneous length of the line, rate of change of the length of the line, and certain constants which vary depending upon the mode of operation, deployment, retrieval, or station keeping.",Tetherline system for orbiting satellites,1978
