year,organization,count
1976,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,2
1976,The United States of America as represented by the Secretary of the Navy,1
1977,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,3
1977,The United States of America as represented by the Secretary of the Navy,2
1978,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,9
1979,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,5
1979,The United States of America as represented by the Secretary of the Navy,6
1980,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,4
1980,The United States of America as represented by the Secretary of the Navy,3
1981,The Boeing Company,1
1981,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,4
1982,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,1
1983,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,7
1983,The United States of America as represented by the Secretary of the Navy,3
1984,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,5
1984,The United States of America as represented by the Secretary of the Navy,1
1985,The Boeing Company,2
1985,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,8
1985,The United States of America as represented by the Secretary of the Navy,1
1986,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,11
1986,The United States of America as represented by the Secretary of the Navy,3
1987,The Boeing Company,1
1987,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,9
1987,The United States of America as represented by the Secretary of the Navy,4
1988,The Boeing Company,2
1988,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,13
1988,The United States of America as represented by the Secretary of the Navy,1
1989,The Boeing Company,3
1989,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,17
1989,The United States of America as represented by the Secretary of the Navy,3
1990,The Boeing Company,1
1990,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,14
1990,The United States of America as represented by the Secretary of the Navy,2
1991,The Boeing Company,2
1991,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,17
1991,The United States of America as represented by the Secretary of the Navy,3
1992,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,13
1992,The United States of America as represented by the Secretary of the Navy,2
1993,The Boeing Company,1
1993,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,16
1993,The United States of America as represented by the Secretary of the Navy,4
1994,The Boeing Company,1
1994,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,11
1994,The United States of America as represented by the Secretary of the Navy,4
1995,The Boeing Company,1
1995,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,9
1995,The United States of America as represented by the Secretary of the Navy,4
1996,Lockheed Martin Corporation,1
1996,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,7
1996,The United States of America as represented by the Secretary of the Navy,3
1997,Lockheed Martin Corporation,1
1997,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,4
1997,The United States of America as represented by the Secretary of the Navy,2
1998,Lockheed Martin Corporation,13
1998,The Boeing Company,1
1998,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,7
1998,The United States of America as represented by the Secretary of the Navy,1
1999,Lockheed Martin Corporation,13
1999,The Boeing Company,3
1999,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,4
1999,The United States of America as represented by the Secretary of the Navy,2
2000,Lockheed Martin Corporation,18
2000,The Boeing Company,3
2000,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,2
2000,The United States of America as represented by the Secretary of the Navy,5
2001,Lockheed Martin Corporation,12
2001,The Boeing Company,12
2001,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,5
2001,The United States of America as represented by the Secretary of the Navy,10
2002,Lockheed Martin Corporation,18
2002,The Boeing Company,14
2002,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,2
2002,The United States of America as represented by the Secretary of the Navy,5
2003,Lockheed Martin Corporation,24
2003,The Boeing Company,26
2003,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,2
2004,Lockheed Martin Corporation,9
2004,The Boeing Company,18
2004,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,4
2004,The United States of America as represented by the Secretary of the Navy,2
2005,Lockheed Martin Corporation,11
